gene_name	uniprot_id
PRDM16	Q9HAZ2
PEX10	O60683
PEX14	O75381
PLCH2	O75038
SPSB1	Q96BD6
SLC2A5	P22732
NMNAT1	Q9HAN9
DISP3	Q9P2K9
MMEL1	Q495T6
TMEM51	Q9NW97
RER1	O15258
PANK4	Q9NVE7
VPS13D	Q5THJ4
RBP7	Q96R05
GPR157	Q5UAW9
ZBTB40	Q9NUA8
NPHP4	O75161
HES5	Q5TA89
PHACTR4	Q8IZ21
SLC9A1	P19634
PAFAH2	Q99487
AJAP1	Q9UKB5
PTAFR	P25105
SLC25A33	Q9BSK2
GJB3	O75712
EYA3	Q99504
KAZN	Q674X7
TNFRSF1B	P20333
UBE4B	O95155
PLA2G5	P39877
PTPRU	Q92729
GJB5	O95377
AGO4	Q9HCK5
ZBTB8B	Q8NAP8
CASZ1	Q86V15
DNALI1	O14645
RRAGC	Q9HB90
GRIK3	Q13003
PLA2G2D	Q9UNK4
GUCA2B	Q16661
RCC2	Q9P258
PSMB2	P49721
THRAP3	Q9Y2W1
PADI6	Q6TGC4
PADI4	Q9UM07
RHBDL2	Q9NX52
CFAP144	A6NL82
ZMYM4	Q5VZL5
C1orf216	Q8TAB5
ACTL8	Q9H568
RLF	Q13129
CLSPN	Q9HAW4
GNL2	Q13823
GJA4	P35212
MORN1	Q5T089
TTC22	Q5TAA0
MYCBP	Q99417
DLGAP3	O95886
RIMS3	Q9UJD0
SMIM12	Q96EX1
CZIB	Q9NWV4
FAM151A	Q8WW52
OSBPL9	Q96SU4
PARS2	Q7L3T8
ZYG11B	Q9C0D3
TTC4	O95801
KLF17	Q5JT82
PLPP3	O14495
SNIP1	Q8TAD8
CPT2	P23786
FOXJ3	Q9UPW0
TUT4	Q5TAX3
KLF18	A0A0U1RQI7
MAGOH	P61326
CDKN2C	P42773
C1orf87	Q8N0U7
ZSWIM5	Q9P217
OMA1	Q96E52
SLC35D1	Q9NTN3
LRP8	Q14114
TCEANC2	Q96MN5
USP1	O94782
AK5	Q9Y6K8
GIPC2	Q8TF65
ANGPTL3	Q9Y5C1
DNAJC6	O75061
AK4	P27144
LEPROT	O15243
CACHD1	Q5VU97
MCOLN2	Q8IZK6
ST6GALNAC5	Q9BVH7
ATG4C	Q96DT6
ADGRL4	Q9HBW9
GJA9	P57773
TTLL7	Q6ZT98
KDM4A	O75164
ZNHIT6	Q9NWK9
MROH7	Q68CQ1
PTGFR	P43088
LMO4	P61968
PRPF38A	Q8NAV1
PIGK	Q92643
GUCA2A	Q02747
DOCK7	Q96N67
NEGR1	Q7Z3B1
SHISAL2A	Q6UWV7
DNTTIP2	Q5QJE6
PTPRF	P10586
COL24A1	Q17RW2
GPX7	Q96SL4
SLC44A3	Q8N4M1
PKN2	Q16513
ABCD3	P28288
ZZZ3	Q8IYH5
GJB4	Q9NTQ9
DMRTA2	Q96SC8
HIVEP3	Q5T1R4
BCAR3	O75815
BARHL2	Q9NY43
CNN3	Q15417
VAV3	Q9UKW4
TLCD4	Q96MV1
LRRC8D	Q7L1W4
S1PR1	P21453
ELAPOR1	Q6UXG2
ARHGAP29	Q52LW3
IGSF21	Q96ID5
COA7	Q96BR5
OLFML3	Q9NRN5
GCLM	P48507
TGFBR3	Q03167
SZT2	Q5T011
PHTF1	Q9UMS5
F3	P13726
MAN1A2	O60476
LPAR3	Q9UBY5
CTTNBP2NL	Q9P2B4
CIMAP3	Q8TCI5
TSPAN2	O60636
SLC35A3	Q9Y2D2
AGL	P35573
SLC6A17	Q9H1V8
RNPC3	Q96LT9
SEC22B	O75396
PTGFRN	Q9P2B2
ZNF326	Q5BKZ1
TRIM45	Q9H8W5
TENT5C	Q5VWP2
SYCP1	Q15431
PIP5K1A	Q99755
GDAP2	Q9NXN4
TSHB	P01222
WDR3	Q9UNX4
SCNM1	Q9BWG6
SRGAP2C	P0DJJ0
SPAG17	Q6Q759
TTF2	Q9UNY4
MAGI3	Q5TCQ9
GABPB2	Q8TAK5
LYSMD1	Q96S90
CD2	P06729
GPR89A	B7ZAQ6
CSF1	P09603
TNFAIP8L2	Q6P589
MPC2	O95563
FIRRM	Q9NSG2
LAMC1	P11047
NME7	Q9Y5B8
RCSD1	Q6JBY9
XCL2	Q9UBD3
POU2F1	P14859
RXRG	P48443
TPR	P12270
METTL18	O95568
CHIA	Q9BZP6
NIBAN1	Q9BZQ8
OR10J5	Q8NHC4
LAMC2	Q13753
GPA33	Q99795
XCL1	P47992
