pdb_filename	pae_filename	pos_covered	uniprot_id
AF-Q9Y2D2-F1-model_v4.pdb.gz	AF-Q9Y2D2-F1-predicted_aligned_error_v4.json	[1, 325]	Q9Y2D2
AF-Q96MC6-F1-model_v4.pdb.gz	AF-Q96MC6-F1-predicted_aligned_error_v4.json	[1, 490]	Q96MC6
AF-Q96R05-F1-model_v4.pdb.gz	AF-Q96R05-F1-predicted_aligned_error_v4.json	[1, 134]	Q96R05
AF-Q6UVJ0-F1-model_v4.pdb.gz	AF-Q6UVJ0-F1-predicted_aligned_error_v4.json	[1, 657]	Q6UVJ0
AF-Q9NUP7-F1-model_v4.pdb.gz	AF-Q9NUP7-F1-predicted_aligned_error_v4.json	[1, 481]	Q9NUP7
AF-Q96DD0-F1-model_v4.pdb.gz	AF-Q96DD0-F1-predicted_aligned_error_v4.json	[1, 335]	Q96DD0
AF-O00442-F1-model_v4.pdb.gz	AF-O00442-F1-predicted_aligned_error_v4.json	[1, 366]	O00442
AF-O95155-F1-model_v4.pdb.gz	AF-O95155-F1-predicted_aligned_error_v4.json	[1, 1302]	O95155
AF-Q9UNH5-F1-model_v4.pdb.gz	AF-Q9UNH5-F1-predicted_aligned_error_v4.json	[1, 594]	Q9UNH5
AF-Q9GZN0-F1-model_v4.pdb.gz	AF-Q9GZN0-F1-predicted_aligned_error_v4.json	[1, 384]	Q9GZN0
AF-P19320-F1-model_v4.pdb.gz	AF-P19320-F1-predicted_aligned_error_v4.json	[1, 739]	P19320
AF-Q9UBQ6-F1-model_v4.pdb.gz	AF-Q9UBQ6-F1-predicted_aligned_error_v4.json	[1, 330]	Q9UBQ6
AF-Q8NEW0-F1-model_v4.pdb.gz	AF-Q8NEW0-F1-predicted_aligned_error_v4.json	[1, 376]	Q8NEW0
AF-Q9H2P9-F1-model_v4.pdb.gz	AF-Q9H2P9-F1-predicted_aligned_error_v4.json	[1, 285]	Q9H2P9
AF-P21453-F1-model_v4.pdb.gz	AF-P21453-F1-predicted_aligned_error_v4.json	[1, 382]	P21453
AF-P05161-F1-model_v4.pdb.gz	AF-P05161-F1-predicted_aligned_error_v4.json	[1, 165]	P05161
AF-Q96PB7-F1-model_v4.pdb.gz	AF-Q96PB7-F1-predicted_aligned_error_v4.json	[1, 478]	Q96PB7
AF-O60333-F1-model_v4.pdb.gz	AF-O60333-F1-predicted_aligned_error_v4.json	[1, 1816]	O60333
AF-P12107-F1-model_v4.pdb.gz	AF-P12107-F1-predicted_aligned_error_v4.json	[1, 1806]	P12107
AF-Q96LT9-F1-model_v4.pdb.gz	AF-Q96LT9-F1-predicted_aligned_error_v4.json	[1, 517]	Q96LT9
AF-P19961-F1-model_v4.pdb.gz	AF-P19961-F1-predicted_aligned_error_v4.json	[1, 511]	P19961
AF-P04746-F1-model_v4.pdb.gz	AF-P04746-F1-predicted_aligned_error_v4.json	[1, 511]	P04746
AF-P0DUB6-F1-model_v4.pdb.gz	AF-P0DUB6-F1-predicted_aligned_error_v4.json	[1, 511]	P0DUB6
AF-P0DTE7-F1-model_v4.pdb.gz	AF-P0DTE7-F1-predicted_aligned_error_v4.json	[1, 511]	P0DTE7
